h3_cell,community,community_size
89266419157ffff,0,77
89266419493ffff,0,77
89266419607ffff,0,77
892664520afffff,0,77
89266452147ffff,0,77
89266452c87ffff,0,77
89266452dabffff,0,77
89266456067ffff,0,77
89266456137ffff,0,77
892664562dbffff,0,77
89266456413ffff,0,77
89266457013ffff,0,77
892664c13d3ffff,0,77
892664c1a87ffff,0,77
892664c1b47ffff,0,77
892664c1ecfffff,0,77
892664c80afffff,0,77
892664c81b7ffff,0,77
892664c8cabffff,0,77
892664c8d6bffff,0,77
892664ca0abffff,0,77
892664ca103ffff,0,77
892664ca6b7ffff,0,77
892664ca913ffff,0,77
892664caaafffff,0,77
892664cac3bffff,0,77
892664cb58fffff,0,77
892664cc217ffff,0,77
892664cc3b3ffff,0,77
892664cc46fffff,0,77
892664cc4dbffff,0,77
892664cc563ffff,0,77
892664cc5d7ffff,0,77
892664cc847ffff,0,77
892664cc8b3ffff,0,77
892664ccb73ffff,0,77
892664ccc7bffff,0,77
892664ccd9bffff,0,77
892664cce7bffff,0,77
892664cd1b3ffff,0,77
892664cd3b3ffff,0,77
892664cd897ffff,0,77
892664cd973ffff,0,77
892664cdb0fffff,0,77
892664ce203ffff,0,77
892664ce35bffff,0,77
892664cea67ffff,0,77
892664cf017ffff,0,77
892664cf12bffff,0,77
892664cf2bbffff,0,77
892664cf33bffff,0,77
892664cf507ffff,0,77
892664cf553ffff,0,77
892664cf617ffff,0,77
892664d9bcbffff,0,77
892759369bbffff,0,77
892664c1607ffff,0,77
892664cd08bffff,0,77
892664cd4cbffff,0,77
892664d88bbffff,0,77
892664d8973ffff,0,77
892664d8ccfffff,0,77
892664d9993ffff,0,77
892664ca58fffff,0,77
892664cae4fffff,0,77
892664cb1a7ffff,0,77
892664cd29bffff,0,77
892664d8aa7ffff,0,77
892664d8e1bffff,0,77
892664d9857ffff,0,77
892664d9937ffff,0,77
8926641962fffff,1,337
892664c1b6fffff,1,337
8926641b28fffff,1,337
892664c1b0bffff,1,337
892664ca3cfffff,0,77
892664cb057ffff,0,77
892664cb387ffff,0,77
892664cd6cfffff,0,77
89275936d53ffff,0,77
89266452183ffff,1,337
89266452133ffff,1,337
89266452513ffff,1,337
89266452533ffff,1,337
89266452c07ffff,1,337
892664564abffff,1,337
892664c1007ffff,1,337
892664c100bffff,1,337
892664c101bffff,1,337
892664c102fffff,1,337
892664c1047ffff,1,337
892664c104fffff,1,337
892664c1057ffff,1,337
892664c105bffff,1,337
892664c1067ffff,1,337
892664c106fffff,1,337
892664c108fffff,1,337
892664c10cbffff,1,337
892664c10d3ffff,1,337
892664c10d7ffff,1,337
892664c10dbffff,1,337
892664c114fffff,1,337
892664c116fffff,1,337
892664c1217ffff,1,337
892664c1233ffff,1,337
892664c124bffff,1,337
892664c1257ffff,1,337
892664c1267ffff,1,337
892664c126bffff,1,337
892664c1293ffff,1,337
892664c129bffff,1,337
892664c12b3ffff,1,337
892664c12bbffff,1,337
892664c12d7ffff,1,337
892664c12dbffff,1,337
892664c1313ffff,1,337
892664c1327ffff,1,337
892664c1333ffff,1,337
892664c1377ffff,1,337
892664c1383ffff,1,337
892664c13afffff,1,337
892664c13b7ffff,1,337
892664c13bbffff,1,337
892664c13cfffff,1,337
892664c13dbffff,1,337
892664c144bffff,1,337
892664c144fffff,1,337
892664c160fffff,1,337
892664c1617ffff,1,337
892664c161bffff,1,337
892664c162fffff,1,337
892664c1633ffff,1,337
892664c163bffff,1,337
892664c1643ffff,1,337
892664c1657ffff,1,337
892664c1663ffff,1,337
892664c166bffff,1,337
892664c1677ffff,1,337
892664c167bffff,1,337
892664c168fffff,1,337
892664c1693ffff,1,337
892664c16a3ffff,1,337
892664c16abffff,1,337
892664c16bbffff,1,337
892664c16dbffff,1,337
892664c1a07ffff,1,337
892664c1a63ffff,1,337
892664c1a8bffff,1,337
892664c1aa7ffff,1,337
892664c1ab3ffff,1,337
892664c1acfffff,1,337
892664c1adbffff,1,337
892664c1e0fffff,1,337
892664c1e13ffff,1,337
892664c1e2fffff,1,337
892664c1e33ffff,1,337
892664c1e4fffff,1,337
892664c1e5bffff,1,337
892664c1e73ffff,1,337
892664c1e8fffff,1,337
892664c1ea7ffff,1,337
892664c1eabffff,1,337
892664c1ec7ffff,1,337
892664c1ed3ffff,1,337
892664c1ed7ffff,1,337
892664ca013ffff,1,337
892664ca10fffff,1,337
892664ca123ffff,1,337
892664ca1a3ffff,1,337
892664ca427ffff,1,337
892664ca483ffff,1,337
892664ca51bffff,1,337
892664ca537ffff,1,337
892664ca583ffff,1,337
892664ca597ffff,1,337
892664ca807ffff,1,337
892664ca82fffff,1,337
892664ca883ffff,1,337
892664ca88bffff,1,337
892664ca897ffff,1,337
892664ca943ffff,1,337
892664ca963ffff,1,337
892664ca993ffff,1,337
