pickup_h3,dropoff_h3,weight
89266419157ffff,89266419493ffff,61
89266419157ffff,89266419607ffff,375
89266419157ffff,892664520afffff,8
89266419157ffff,89266452147ffff,39
89266419157ffff,89266452c87ffff,7
89266419157ffff,89266452dabffff,67
89266419157ffff,89266456067ffff,332
89266419157ffff,89266456137ffff,79
89266419157ffff,892664562dbffff,1370
89266419157ffff,89266456413ffff,635
89266419157ffff,89266457013ffff,15
89266419157ffff,892664c13d3ffff,6
89266419157ffff,892664c1a87ffff,53
89266419157ffff,892664c1b47ffff,68
89266419157ffff,892664c1ecfffff,69
89266419157ffff,892664c80afffff,12
89266419157ffff,892664c81b7ffff,5
89266419157ffff,892664c8cabffff,111
89266419157ffff,892664c8d6bffff,8
89266419157ffff,892664ca0abffff,10
89266419157ffff,892664ca103ffff,18
89266419157ffff,892664ca6b7ffff,14
89266419157ffff,892664ca913ffff,251
89266419157ffff,892664caaafffff,22
89266419157ffff,892664cac3bffff,50
89266419157ffff,892664cb58fffff,21
89266419157ffff,892664cc217ffff,1742
89266419157ffff,892664cc3b3ffff,1882
89266419157ffff,892664cc46fffff,305
89266419157ffff,892664cc4dbffff,285
89266419157ffff,892664cc563ffff,362
89266419157ffff,892664cc5d7ffff,363
89266419157ffff,892664cc847ffff,9
89266419157ffff,892664cc8b3ffff,171
89266419157ffff,892664ccb73ffff,299
89266419157ffff,892664ccc7bffff,113
89266419157ffff,892664ccd9bffff,553
89266419157ffff,892664cce7bffff,855
89266419157ffff,892664cd1b3ffff,62
89266419157ffff,892664cd3b3ffff,56
89266419157ffff,892664cd897ffff,287
89266419157ffff,892664cd973ffff,473
89266419157ffff,892664cdb0fffff,77
89266419157ffff,892664ce203ffff,91
89266419157ffff,892664ce35bffff,270
89266419157ffff,892664cea67ffff,1018
89266419157ffff,892664cf017ffff,13
89266419157ffff,892664cf12bffff,902
89266419157ffff,892664cf2bbffff,17
89266419157ffff,892664cf33bffff,64
89266419157ffff,892664cf507ffff,44
89266419157ffff,892664cf553ffff,90
89266419157ffff,892664cf617ffff,34
89266419157ffff,892664d9bcbffff,54
89266419157ffff,892759369bbffff,34
89266419493ffff,89266419157ffff,35
89266419493ffff,89266419607ffff,273
89266419493ffff,892664520afffff,14
89266419493ffff,89266452c87ffff,7
89266419493ffff,89266452dabffff,42
89266419493ffff,89266456067ffff,126
89266419493ffff,89266456137ffff,173
89266419493ffff,892664562dbffff,139
89266419493ffff,89266456413ffff,156
89266419493ffff,89266457013ffff,10
89266419493ffff,892664c13d3ffff,15
89266419493ffff,892664c1607ffff,34
89266419493ffff,892664c1a87ffff,299
89266419493ffff,892664c1b47ffff,1366
89266419493ffff,892664c1ecfffff,423
89266419493ffff,892664c80afffff,5
89266419493ffff,892664c8cabffff,56
89266419493ffff,892664c8d6bffff,89
89266419493ffff,892664ca0abffff,6
89266419493ffff,892664ca103ffff,9
89266419493ffff,892664ca6b7ffff,6
89266419493ffff,892664ca913ffff,423
89266419493ffff,892664caaafffff,40
89266419493ffff,892664cac3bffff,24
89266419493ffff,892664cc217ffff,543
89266419493ffff,892664cc3b3ffff,464
89266419493ffff,892664cc46fffff,248
89266419493ffff,892664cc4dbffff,654
89266419493ffff,892664cc563ffff,460
89266419493ffff,892664cc5d7ffff,339
89266419493ffff,892664cc847ffff,28
89266419493ffff,892664cc8b3ffff,178
89266419493ffff,892664ccb73ffff,175
89266419493ffff,892664ccc7bffff,382
89266419493ffff,892664ccd9bffff,422
89266419493ffff,892664cce7bffff,400
89266419493ffff,892664cd08bffff,20
89266419493ffff,892664cd1b3ffff,212
89266419493ffff,892664cd3b3ffff,139
89266419493ffff,892664cd4cbffff,6
89266419493ffff,892664cd897ffff,576
89266419493ffff,892664cd973ffff,214
89266419493ffff,892664cdb0fffff,41
89266419493ffff,892664ce203ffff,795
89266419493ffff,892664ce35bffff,494
89266419493ffff,892664cea67ffff,770
89266419493ffff,892664cf017ffff,19
89266419493ffff,892664cf12bffff,342
89266419493ffff,892664cf2bbffff,6
89266419493ffff,892664cf33bffff,72
89266419493ffff,892664cf507ffff,1622
89266419493ffff,892664cf553ffff,136
89266419493ffff,892664cf617ffff,77
89266419493ffff,892664d88bbffff,24
89266419493ffff,892664d8973ffff,25
89266419493ffff,892664d8ccfffff,5
89266419493ffff,892664d9993ffff,9
89266419493ffff,892664d9bcbffff,11
89266419493ffff,892759369bbffff,15
89266419607ffff,89266419157ffff,70
89266419607ffff,89266419493ffff,138
89266419607ffff,892664520afffff,52
89266419607ffff,89266452147ffff,8
89266419607ffff,89266452c87ffff,61
89266419607ffff,89266452dabffff,266
89266419607ffff,89266456067ffff,817
89266419607ffff,89266456137ffff,83
89266419607ffff,892664562dbffff,618
89266419607ffff,89266456413ffff,603
89266419607ffff,89266457013ffff,24
89266419607ffff,892664c13d3ffff,109
89266419607ffff,892664c1607ffff,182
89266419607ffff,892664c1a87ffff,1037
89266419607ffff,892664c1b47ffff,2541
89266419607ffff,892664c1ecfffff,524
89266419607ffff,892664c80afffff,357
89266419607ffff,892664c81b7ffff,163
89266419607ffff,892664c8cabffff,70
89266419607ffff,892664c8d6bffff,184
89266419607ffff,892664ca0abffff,15
89266419607ffff,892664ca103ffff,33
89266419607ffff,892664ca58fffff,6
89266419607ffff,892664ca6b7ffff,43
89266419607ffff,892664ca913ffff,1518
89266419607ffff,892664caaafffff,102
89266419607ffff,892664cac3bffff,91
89266419607ffff,892664cae4fffff,11
89266419607ffff,892664cb1a7ffff,14
89266419607ffff,892664cc217ffff,1010
89266419607ffff,892664cc3b3ffff,1027
89266419607ffff,892664cc46fffff,444
89266419607ffff,892664cc4dbffff,2787
89266419607ffff,892664cc563ffff,516
89266419607ffff,892664cc5d7ffff,786
89266419607ffff,892664cc847ffff,86
89266419607ffff,892664cc8b3ffff,577
89266419607ffff,892664ccb73ffff,409
89266419607ffff,892664ccc7bffff,316
89266419607ffff,892664ccd9bffff,530
89266419607ffff,892664cce7bffff,943
89266419607ffff,892664cd08bffff,71
89266419607ffff,892664cd1b3ffff,830
89266419607ffff,892664cd29bffff,8
89266419607ffff,892664cd3b3ffff,330
89266419607ffff,892664cd4cbffff,9
89266419607ffff,892664cd897ffff,318
89266419607ffff,892664cd973ffff,568
89266419607ffff,892664cdb0fffff,138
89266419607ffff,892664ce203ffff,1288
89266419607ffff,892664ce35bffff,812
89266419607ffff,892664cea67ffff,1574
89266419607ffff,892664cf017ffff,185
89266419607ffff,892664cf12bffff,1572
89266419607ffff,892664cf2bbffff,44
89266419607ffff,892664cf33bffff,408
89266419607ffff,892664cf507ffff,2287
89266419607ffff,892664cf553ffff,1223
89266419607ffff,892664cf617ffff,281
89266419607ffff,892664d88bbffff,89
89266419607ffff,892664d8973ffff,130
89266419607ffff,892664d8aa7ffff,13
89266419607ffff,892664d8ccfffff,85
89266419607ffff,892664d8e1bffff,23
89266419607ffff,892664d9857ffff,23
89266419607ffff,892664d9937ffff,17
89266419607ffff,892664d9993ffff,23
89266419607ffff,892759369bbffff,13
8926641962fffff,892664c1b6fffff,6
8926641b28fffff,892664c1b0bffff,5
892664520afffff,89266419157ffff,84
892664520afffff,89266419493ffff,141
892664520afffff,89266419607ffff,260
892664520afffff,89266452147ffff,3803
892664520afffff,89266452c87ffff,2151
892664520afffff,89266452dabffff,3540
892664520afffff,89266456067ffff,339
892664520afffff,89266456137ffff,37
892664520afffff,892664562dbffff,1476
892664520afffff,89266456413ffff,870
892664520afffff,89266457013ffff,1423
892664520afffff,892664c13d3ffff,26096
892664520afffff,892664c1607ffff,30625
892664520afffff,892664c1a87ffff,17646
892664520afffff,892664c1b47ffff,13647
892664520afffff,892664c1ecfffff,43487
892664520afffff,892664c80afffff,1935
892664520afffff,892664c81b7ffff,295
892664520afffff,892664c8cabffff,942
892664520afffff,892664c8d6bffff,1732
892664520afffff,892664ca0abffff,1804
892664520afffff,892664ca103ffff,9693
892664520afffff,892664ca3cfffff,288
892664520afffff,892664ca58fffff,7082
892664520afffff,892664ca6b7ffff,1977
892664520afffff,892664ca913ffff,20089
892664520afffff,892664caaafffff,721
892664520afffff,892664cac3bffff,23071
892664520afffff,892664cae4fffff,1252
892664520afffff,892664cb057ffff,329
892664520afffff,892664cb1a7ffff,831
892664520afffff,892664cb387ffff,118
892664520afffff,892664cb58fffff,858
892664520afffff,892664cc217ffff,1507
892664520afffff,892664cc3b3ffff,1834
892664520afffff,892664cc46fffff,692
892664520afffff,892664cc4dbffff,3745
892664520afffff,892664cc563ffff,4491
892664520afffff,892664cc5d7ffff,19241
892664520afffff,892664cc847ffff,48
892664520afffff,892664cc8b3ffff,530
892664520afffff,892664ccb73ffff,178
892664520afffff,892664ccc7bffff,410
892664520afffff,892664ccd9bffff,511
892664520afffff,892664cce7bffff,1469
892664520afffff,892664cd08bffff,899
892664520afffff,892664cd1b3ffff,819
892664520afffff,892664cd29bffff,1094
892664520afffff,892664cd3b3ffff,1749
892664520afffff,892664cd4cbffff,1340
892664520afffff,892664cd6cfffff,1560
892664520afffff,892664cd897ffff,1605
892664520afffff,892664cd973ffff,918
892664520afffff,892664cdb0fffff,4117
892664520afffff,892664ce203ffff,1486
892664520afffff,892664ce35bffff,8012
892664520afffff,892664cea67ffff,2340
892664520afffff,892664cf017ffff,3872
892664520afffff,892664cf12bffff,679
892664520afffff,892664cf2bbffff,1329
892664520afffff,892664cf33bffff,1337
892664520afffff,892664cf507ffff,4300
892664520afffff,892664cf553ffff,2435
892664520afffff,892664cf617ffff,4416
892664520afffff,892664d88bbffff,6522
892664520afffff,892664d8973ffff,7446
892664520afffff,892664d8aa7ffff,3647
892664520afffff,892664d8ccfffff,3234
892664520afffff,892664d8e1bffff,1760
892664520afffff,892664d9857ffff,344
892664520afffff,892664d9937ffff,1146
892664520afffff,892664d9993ffff,597
892664520afffff,892664d9bcbffff,288
892664520afffff,892759369bbffff,477
892664520afffff,89275936d53ffff,65
89266452147ffff,89266419157ffff,33
89266452147ffff,89266419607ffff,8
89266452147ffff,892664520afffff,671
89266452147ffff,89266452c87ffff,42
89266452147ffff,89266452dabffff,37
89266452147ffff,89266456067ffff,10
89266452147ffff,892664562dbffff,20
89266452147ffff,89266456413ffff,17
89266452147ffff,89266457013ffff,8
89266452147ffff,892664c13d3ffff,49
89266452147ffff,892664c1607ffff,39
89266452147ffff,892664c1a87ffff,553
89266452147ffff,892664c1b47ffff,749
89266452147ffff,892664c1ecfffff,524
89266452147ffff,892664c80afffff,38
89266452147ffff,892664c8cabffff,71
89266452147ffff,892664c8d6bffff,15
89266452147ffff,892664ca0abffff,6
89266452147ffff,892664ca103ffff,20
89266452147ffff,892664ca58fffff,5
89266452147ffff,892664ca6b7ffff,6
89266452147ffff,892664ca913ffff,400
89266452147ffff,892664caaafffff,61
89266452147ffff,892664cac3bffff,65
89266452147ffff,892664cae4fffff,11
89266452147ffff,892664cb1a7ffff,11
89266452147ffff,892664cb387ffff,5
89266452147ffff,892664cb58fffff,5
89266452147ffff,892664cc217ffff,32
89266452147ffff,892664cc3b3ffff,36
89266452147ffff,892664cc46fffff,5
89266452147ffff,892664cc4dbffff,169
89266452147ffff,892664cc563ffff,23
89266452147ffff,892664cc5d7ffff,61
89266452147ffff,892664cc847ffff,5
89266452147ffff,892664cc8b3ffff,8
89266452147ffff,892664ccb73ffff,8
89266452147ffff,892664cce7bffff,46
89266452147ffff,892664cd08bffff,14
89266452147ffff,892664cd1b3ffff,12
89266452147ffff,892664cd29bffff,16
89266452147ffff,892664cd3b3ffff,41
89266452147ffff,892664cd4cbffff,54
89266452147ffff,892664cd6cfffff,17
89266452147ffff,892664cd897ffff,36
89266452147ffff,892664cd973ffff,23
89266452147ffff,892664cdb0fffff,20
89266452147ffff,892664ce203ffff,51
89266452147ffff,892664ce35bffff,67
89266452147ffff,892664cea67ffff,95
89266452147ffff,892664cf017ffff,52
89266452147ffff,892664cf12bffff,27
89266452147ffff,892664cf2bbffff,559
89266452147ffff,892664cf33bffff,34
89266452147ffff,892664cf507ffff,220
89266452147ffff,892664cf553ffff,115
89266452147ffff,892664cf617ffff,40
89266452147ffff,892664d88bbffff,6
89266452147ffff,892664d8973ffff,15
89266452147ffff,892664d8aa7ffff,13
89266452147ffff,892664d8ccfffff,19
89266452147ffff,892664d8e1bffff,6
89266452147ffff,892664d9937ffff,5
89266452147ffff,892759369bbffff,5
89266452183ffff,89266452133ffff,6
89266452183ffff,89266452513ffff,7
89266452183ffff,89266452533ffff,37
89266452183ffff,89266452c07ffff,13
89266452183ffff,892664564abffff,7
89266452183ffff,892664c1007ffff,539
89266452183ffff,892664c100bffff,85
89266452183ffff,892664c101bffff,244
89266452183ffff,892664c102fffff,742
89266452183ffff,892664c1047ffff,195
89266452183ffff,892664c104fffff,188
89266452183ffff,892664c1057ffff,92
89266452183ffff,892664c105bffff,124
89266452183ffff,892664c1067ffff,145
89266452183ffff,892664c106fffff,177
89266452183ffff,892664c108fffff,39
89266452183ffff,892664c10cbffff,38
89266452183ffff,892664c10d3ffff,392
89266452183ffff,892664c10d7ffff,423
89266452183ffff,892664c10dbffff,124
89266452183ffff,892664c114fffff,2035
89266452183ffff,892664c116fffff,3544
89266452183ffff,892664c1217ffff,85
89266452183ffff,892664c1233ffff,127
89266452183ffff,892664c124bffff,34
89266452183ffff,892664c1257ffff,26
89266452183ffff,892664c1267ffff,38
89266452183ffff,892664c126bffff,30
89266452183ffff,892664c1293ffff,43
89266452183ffff,892664c129bffff,30
89266452183ffff,892664c12b3ffff,72
89266452183ffff,892664c12bbffff,45
89266452183ffff,892664c12d7ffff,19
89266452183ffff,892664c12dbffff,22
89266452183ffff,892664c1313ffff,81
89266452183ffff,892664c1327ffff,222
89266452183ffff,892664c1333ffff,104
89266452183ffff,892664c1377ffff,575
89266452183ffff,892664c1383ffff,27
89266452183ffff,892664c13afffff,945
89266452183ffff,892664c13b7ffff,541
89266452183ffff,892664c13bbffff,24
89266452183ffff,892664c13cfffff,286
89266452183ffff,892664c13d3ffff,77
89266452183ffff,892664c13dbffff,70
89266452183ffff,892664c144bffff,126
89266452183ffff,892664c144fffff,406
89266452183ffff,892664c160fffff,6
89266452183ffff,892664c1617ffff,161
89266452183ffff,892664c161bffff,14
89266452183ffff,892664c162fffff,70
89266452183ffff,892664c1633ffff,104
89266452183ffff,892664c163bffff,47
89266452183ffff,892664c1643ffff,15
89266452183ffff,892664c1657ffff,38
89266452183ffff,892664c1663ffff,7
89266452183ffff,892664c166bffff,8
89266452183ffff,892664c1677ffff,6
89266452183ffff,892664c167bffff,25
89266452183ffff,892664c168fffff,19
89266452183ffff,892664c1693ffff,86
89266452183ffff,892664c16a3ffff,7
