h3_cell,in_strength,out_strength,total_flow,pagerank,betweenness,betweenness_norm,rank
892664c1ecfffff,1246584.0,1777866.0,3024450.0,0.03641678391318157,711.175,0.027559148417622206,1
892664c1a8bffff,1022726.0,946007.0,1968733.0,0.08101066779270757,12876.490079365076,0.4989842179425066,2
892664c1a87ffff,742976.0,1085065.0,1828041.0,0.019657400602694476,0.0,0.0,3
892664c1e2fffff,779050.0,982580.0,1761630.0,0.06215498831349163,9324.627716727724,0.3613439718555532,4
892664ca913ffff,707028.0,815548.0,1522576.0,0.01965524710675445,251.25874125874122,0.009736670920061287,5
892664c1acfffff,497960.0,830598.0,1328558.0,0.038545342934141,11234.04855699855,0.43533702887910525,6
892664c1607ffff,658426.0,599193.0,1257619.0,0.014996205871395177,4.0,0.00015500628350334142,7
892664c1e0fffff,524269.0,644188.0,1168457.0,0.04171597872471062,5414.454029304028,0.20981859907052738,8
892664c13d3ffff,578988.0,407194.0,986182.0,0.012392219899329773,25805.405494505474,1.0,9
892664c1eabffff,364007.0,414666.0,778673.0,0.03328114787951187,9023.59474136974,0.34967847117500467,10
892664c1b0bffff,393296.0,348069.0,741365.0,0.03558227757432742,16204.204822954824,0.6279383916832869,11
892664c1e33ffff,360189.0,331347.0,691536.0,0.02748173260496385,5826.908269508272,0.22580184879284093,12
892664d8973ffff,312505.0,292016.0,604521.0,0.008216722663769275,0.0,0.0,13
892664cac3bffff,397334.0,203216.0,600550.0,0.008739291602443081,0.0,0.0,14
892664c1adbffff,265588.0,309143.0,574731.0,0.02081137918678508,3665.5125513375565,0.1420443694294214,15
892664c1b47ffff,280073.0,282843.0,562916.0,0.008640345173968392,0.0,0.0,16
892664c1e13ffff,262630.0,280301.0,542931.0,0.020342146529660658,2343.2876984126974,0.09080607932751275,17
892664c1e73ffff,322288.0,175160.0,497448.0,0.024139186804207617,2019.7353174603168,0.07826791630499129,18
892664c1ab3ffff,261332.0,235146.0,496478.0,0.019132828302539796,3772.478427128431,0.14618946514642728,19
892664c1e8fffff,213482.0,258564.0,472046.0,0.016366557123947408,2454.8389249639235,0.09512886458949896,20
892664d88bbffff,252526.0,217957.0,470483.0,0.006572464141432289,0.0,0.0,21
892664520afffff,127213.0,323131.0,450344.0,0.0038654754338748893,0.0,0.0,22
89266452183ffff,130223.0,319027.0,449250.0,0.010909521905210757,14007.553327228334,0.5428146955571321,23
892664c1e4fffff,263544.0,144491.0,408035.0,0.021598584721486215,2678.764957264957,0.10380635010115705,24
892664cad77ffff,299552.0,81117.0,380669.0,0.023620043866713174,3888.0960317460317,0.15066982894626055,25
892664c1aa7ffff,149292.0,184596.0,333888.0,0.011270850655889618,1923.0607142857132,0.07452162356817738,26
892664cc5d7ffff,177714.0,140099.0,317813.0,0.005048207540176247,6.95,0.0002693234175870557,27
892664cf507ffff,159506.0,134899.0,294405.0,0.005489573922747403,0.0,0.0,28
892664c1ea7ffff,140998.0,131328.0,272326.0,0.011189142635845561,4938.505194805194,0.19137483407717457,29
892664cea67ffff,144389.0,120467.0,264856.0,0.0048482237906845435,0.0,0.0,30
